,Delegates,Loan Matches,Scores
24895,William Smith,William S Smith,95.0
22834,William Smith,William Smith,100.0
24896,William Smith,William V Smith,95.0
38623,William Sommersall,William Somersall,97.14285714285714
2048,William Stevens,William S Stevens,95.0
1930,William Stevens,William Stevens,100.0
17506,William Thompson,William Thompson,100.0
18618,William Thompson,William Thomson,96.7741935483871
10962,William Thornton,William Thornton,100.0
8078,William Todd,William Todd,100.0
25448,William Washington,William Washington,100.0
1209,William Watkins,William Atkins,96.55172413793103
9678,William Watkins,William Watkins,100.0
10123,William White,William White,100.0
2273,William Williams,William Mc Williams,95.0
37668,William Williams,William Willamson,90.9090909090909
4493,William Williams,William Williams,100.0
4494,William Williams,William Williamson,94.11764705882354
4947,William Williams,William Willis,93.33333333333333
15949,William Wilson,William Willson,96.55172413793103
14920,William Wilson,William Wilson,100.0
843,William Woodhull,William Woodhull,100.0
30949,Williams John,John 1st Williams,95.0
30950,Williams John,John 2d Williams,95.0
28794,Williams John,John Davis Williams,95.0
28795,Williams John,John F Williams,95.0
28796,Williams John,John M Williams,95.0
15649,Williams John,John Mc Williams,95.0
28798,Williams John,John Wiliams,91.19999999999999
28799,Williams John,John William,91.19999999999999
28793,Williams John,John Williams,95.0
28792,Williams John,William John,96.0
28805,Williams John,William John Molnerear,86.4
28797,Williams John,William St John,92.85714285714286
6042,Williams John,john williams,95.0
8982,Zachariah Johnston,Zachariah Johnston,100.0
6999,Zephaniah Platt,Zephaniah Platt,100.0
