,Search Names,Location,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Family Size,Slavecount,Match Status,Match Reason,url,origin
94,"['Jabez Bowen Journal', 'Jabez Bowen']",Rhode Island,Jabez Bowen Journal,"[[['Jabez Bowen Journal', 'Jabez Bowen Transferred from Massachusetts', 'Jabez Bowen transferred from Massachusetts']], [['Jabez Bowen Journal', 'Jabez Bowen Transferred from Massachusetts', 'Jabez Bowen transferred from Massachusetts'], ['Jabez Bowen Transferred from the Reg', 'Jabez Bowen transferred from the Register', 'Jaboz Bown Transferred from the Register']]]",[],2,1,750.0,376.0,315.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jabez+Bowen_Journal&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
95,"['Rebecca  Wharton', 'Deborah Wharton']","Philadelphia, Philadelphia, Pennsylvania",Deborah Wharton,"[[['Rebecca and Deborah Wharton', 'Rebecca Wharton and Deborah Wharton']], [['Rebecca and Deborah Wharton', 'Rebecca Wharton and Deborah Wharton']]]",['G. Woman'],2,1,732.0,367.0,548.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Deborah_Wharton&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
96,"['Timothy Larrabe', 'Timothy Larabee']","Windham, Windham, Connecticut",Timothy Larabee,"[[['Timothy Larabee', 'Timothy Larrabee']], [['Timothy Larabee', 'Timothy Larrabee']]]",['Attorney at Law'],2,1,732.0,367.0,180.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Timothy_Larabee&name_x=ps_ps&residence=_windham-windham-connecticut-usa_3465&residence_x=1-0_1-1,Aggregated CD debt files
97,"['John  McCree', 'John Mccrea']", Philadelphia,John Mccrea,"[[['John McCree', 'John McCrea']], [['John McCree', 'John McCrea']]]",['Broker'],2,1,730.0,414.0,370.0,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Mccrea&name_x=s_s&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
98,"['Nicholas Cook', 'Hannah Cook']","Providence, Providence, Rhode Island",Hannah Cook,"[[['Nicholas and Hannah Cooke'], ['Nicholas and Hannah Cooke', 'Nicholas and Hannah Coske Administrators', 'Robert Crooke']], [['Nicholas and Hannah Cooke'], ['Nicholas and Hannah Cooke', 'Nicholas and Hannah Coske Administrators', 'Robert Crooke']]]","['Admin to the Est of Nicholas Cooke Esq Deceased', 'Administrators to the Estate of Nicholas Cooke Esquire Deceased']",2,2,728.0,462.0,787.0,11,2.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hannah_Cooke&name_x=s_s&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
99,"['Mariamne Williams', 'Jonathan Williams']",Pennsylvania,Mariamne Williams,"[[['Jonathan and Mariamne Williams']], [['Jonathan and Mariamne Williams']]]",[],2,1,728.0,364.0,264.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mariamne_Williams&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
100,"['Jeremiah Wadsworth', 'Barnabas Deane']","Hartford, Hartford, Connecticut",Barnabas Deane,"[[['Jeremiah Wadsworth'], ['Barnabas Deane and Jeremiah Wadsworth', 'Barnabas Deane and J Wadsworth'], ['Jeremiah Wordsworth', 'Jeremiah Wadsworth'], ['Jeremiah Wordsworth', 'Jeremiah Wadsworth']], [['Barnabas Deane'], ['Barnabas Deane and Jeremiah Wadsworth', 'Barnabas Deane and J Wadsworth'], ['Barnabas Deane and Co']]]",[],2,1,720.0,410.0,458.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Barnabas_Deane&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-1,Aggregated CD debt files
101,"['Joseph Innes Clark', 'Joseph Nightingale']",Rhode Island,Joseph Innes Clark,"[[['Clark and Nightingale', 'Clark and Nightingale transferred to treasury'], ['Clark and Nightingale transferred', 'Clark and Nightingale Transferred from Register'], ['Clark and Nightingale Transferred from the Reg', 'Clarkand Nightingale Transferred from the Register', 'Clark and Nightingale Register'], ['Nicholas Banney transfer from register', 'Nathaniel Barney transfer from Register', 'Clark and Nightingale']], [['Clark and Nightingale'], ['Clark and Nightingale transferred', 'Clark and Nightingale Transferred from Register'], ['Clark and Nightingale transfer from register', 'William Larned', 'Clark and Nightingale transfer from Register']]]",['Providence'],2,3,692.0,109.0,463.0,,,No Match,Too Many Potential Matches Found (6),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph+Innes_Clark&name_x=s_s&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
102,"['Ephraim Browning', 'Ephraim Browing']","Charlestown, Washington, Rhode Island",Ephraim Browing,"[[['Ephraim Browning', 'Ephraim Browing']], [['Ephraim Browning', 'Ephraim Browing']]]",['Yeoman'],2,1,664.0,381.0,489.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ephraim_Browing&name_x=ps_ps&residence=_charlestown-washington-rhode+island-usa_5543&residence_x=1-0_1-1,Aggregated CD debt files
103,"['Simon Van Artsdalen', 'Simon Vanorsdalen']",Pennsylvania,Simon Van Artsdalen,"[[['Simon VanArtsdalen', 'Simon Van Artsdalen']], [['Simon VanArtsdalen', 'Simon Van Artsdalen']]]",[],2,1,659.0,330.0,250.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Simon+Van_Artsdalen&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
104,"['Randolph B', 'B Lattimore']","Anne Arundel, Maryland",B Lattimore,"[[['Randolph B Latimer'], ['Randolph B Latimer', 'Randolph Brandt Latimer'], ['Randolph B Latimer', 'Randloph B Latimer']], [['Randolph B Latimer', 'Randloph B Latimer']]]",[],2,3,655.0,426.0,602.0,,,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Randloph+B_Latimer&name_x=s_s&residence=_annapolis-anne+arundel-maryland-usa_6128&residence_x=1-0_1-1,Aggregated CD debt files
105,"['Appha Loomis', 'Alpha Loomis']",Connecticut,Alpha Loomis,"[[['Alpha Lommis adminastrator and Co', 'Appha Loomis', 'Appha Loomis Adminastrator and Co'], ['Alpha Lommis executor and Co', 'Appha Loomis', 'Appha Loomis Executor and Co']], [['Alpha Lommis executor and Co', 'Appha Loomis', 'Appha Loomis Executor and Co']]]",['Executor to the Estate of Uriah Loomis is Deceased'],2,1,633.0,317.0,666.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Alpha_Loomis&name_x=ps_ps&residence=_connecticut-usa_9&residence_x=1-0_1-0,Aggregated CD debt files
106,"['Elizabeth Chaplin', 'Elizabeth Champlin']","Groton, New London, Connecticut",Elizabeth Chaplin,"[[['Elizabeth Champlin', 'Elizabeth Chaplin']], [['Elizabeth Champlin', 'Elizabeth Chaplin']]]",['Widow'],2,1,632.0,366.0,296.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elizabeth_Chaplin&name_x=ps_ps&residence=_groton-new+london-connecticut-usa_3370&residence_x=1-0_1-1,Aggregated CD debt files
107,"['Samuel John', 'Thomas Snowden']","Prince George's, Maryland",Samuel John,"[[['Samuel John and Thomas Snowden']], [['Samuel John and Thomas Snowden']]]",[],2,1,610.0,354.0,628.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_John&name_x=ps_ps&residence=_prince+george+s-maryland-usa_2438&residence_x=1-0_1-0,Aggregated CD debt files
108,"['John Brown', 'James Burrill', 'Mehitable Davis']",Rhode Island,James Burrill,"[[['No 10927 in favour of John Brown', 'James Burrill Jun No 11722', 'No 11739 in Favor Mehitable Davis Adm to John Davis Deceased from the Register of the Treasure']], [['No 10927 in favour of John Brown', 'James Burrill Jun No 11722', 'No 11739 in Favor Mehitable Davis Adm to John Davis Deceased from the Register of the Treasure']], [['No 10927 in favour of John Brown', 'James Burrill Jun No 11722', 'No 11739 in Favor Mehitable Davis Adm to John Davis Deceased from the Register of the Treasure']]]",[],3,2,590.0,58.0,150.0,,,No Match,Too Many Potential Matches Found (2),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Burrill&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
109,"['Robert Newell', 'Nathaniel Waterman']","Johnstown, Providence, Rhode Island",Nathaniel Waterman,"[[['Nathan Waterman and Robert Newell'], ['N Waterman and R Newell Administrator', 'Nathan Waterman and Robert Newell administrator to the est of Jn Demount']], [['Nathan Waterman']]]",['Administrators to the Estate of John Demount Deceased'],2,2,581.0,339.0,191.0,2,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathan_Waterman&name_x=s_s&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
110,"['Samuel Athenton', 'Samuel Atherton']","Attleborough, Bristol, Massachusetts",Samuel Athenton,"[[['Samuel Atherton', 'Samuel Athenton']], [['Samuel Atherton', 'Samuel Athenton']]]",['Yeoman'],2,1,505.0,301.0,449.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Athenton&name_x=ps_ps&residence=_bristol-massachusetts-usa_373&residence_x=1-0_1-1,Aggregated CD debt files
111,"['Robert Cooke', 'Robert Crook']","Newport, Newport, Rhode Island",Robert Cooke,"[[['Robert Cooke', 'Robert Crooke']], [['Robert Cooke', 'Robert Crooke']]]",['Esquire'],2,1,485.0,292.0,0.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Cooke&name_x=ps_ps&residence=_newport-newport-rhode+island-usa_5500&residence_x=1-0_1-1,Aggregated CD debt files
112,"['Colonel Coln Francis  Johnston', 'Francis Johnson']","Philadelphia, Philadelphia, Pennsylvania",Francis Johnson,"[[['Francis Johnson', 'Francis Johnston']], [['Francis Johnson', 'Francis Johnston']]]",['Receiver Gen. of Land Office'],2,1,479.0,240.0,153.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Johnson&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
113,"['Justina Law', 'Justina Lenen']","Lancaster, Lancaster, Pennsylvania",Justina Law,"[[['Justina Law', 'Justina Lenen']], [['Justina Law', 'Justina Lenen']]]",[],2,1,471.0,286.0,293.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Justina_Law&name_x=ps_ps&residence=_lancaster-lancaster-pennsylvania-usa_14386&residence_x=1-0_1-1,Aggregated CD debt files
114,"['John Lansher', 'John Larcher']","Providence, Providence, Rhode Island",John Lansher,"[[['John Larsher', 'John Lansher']], [['John Larsher', 'John Lansher']]]",['Cordwainer'],2,1,465.0,282.0,176.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Lansher&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
115,"['James Boyd', 'Jonathan B Smith']",Pennsylvania,Jonathan B Smith,"[[['James Boyd'], ['James Boyd and Jonathan B Smith']], [['James Boyd and Jonathan B Smith']]]",[],2,2,463.0,233.0,158.0,,,No Match,Too Many Potential Matches Found (5),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan+B_Smith&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
116,"['Jacob Walters', 'Jacob Walters S']","Baltimore, Maryland",Jacob Walters S,"[[['Jacob Walters', 'Jacob Walter'], ['Jacob Walters', 'Jacob Walter'], ['Jacob Walters Excrs of Sebret Sollars', 'Jacob Walters', 'Jacob Walter'], ['Jacob Walters Excrs of Sebret Sollars', 'Jacob Walters', 'Jacob Walter']], [['Jacob Walters Excrs of Sebret Sollars', 'Jacob Walters', 'Jacob Walter']]]",[],2,1,439.0,268.0,136.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob+Walters_S&name_x=ps_ps&residence=_baltimore-maryland-usa_223&residence_x=1-0_1-0,Aggregated CD debt files
117,"['William Shearer', 'John McDowell']",Pennsylvania,John McDowell,"[[['William Sherer and McDowell', 'William Sherer and John McDowell']], [['James Johnston John McDowell and James Strawbridge', 'James Johnston John McDowell and Samuel Strawbridge'], ['William Sherer and McDowell', 'William Sherer and John McDowell']]]",['Executors to John Mackey Deaceased'],2,1,435.0,218.0,183.0,,,No Match,Too Many Potential Matches Found (6),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_McDowell&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
118,"['Ann Brodean', 'Ann  Brodeau']","Philadelphia, Philadelphia, Pennsylvania",Ann Brodean,"[[['Ann Brodeau', 'Ann Brodean']], [['Ann Brodeau', 'Ann Brodean']]]",['Boardg School'],2,1,422.0,211.0,183.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ann_Brodean&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
119,"['Daniel Rhodes', 'Thomas Halsey']","Providence, Providence, Rhode Island",Thomas Halsey,"[[['Thomas Lloyd Halsey', 'Daniel Rhodes']], [['Thomas Lloyd Halsey', 'Daniel Rhodes']]]",['Distiller'],2,1,415.0,257.0,26.0,11,2.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas+Lloyd_Halsey&name_x=s_s&residence=_cranston-providence-rhode+island-usa_5508&residence_x=1-0_1-1,Aggregated CD debt files
120,"['Theodorus Van Wyck Graham', 'Theo V W Graham']",,Theo V W Graham,"['Theodosius V W Graham', 'Theo V W Graham']",,2,1,414.0,207.0,590.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theo V W_Graham&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
121,"['Gasper Smith', 'Japser Smith']",Pennsylvania,Japser Smith,"[[['Jasper Smith', 'Japser Smith']], [['Jasper Smith', 'Japser Smith']]]",[],2,1,414.0,257.0,205.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Japser_Smith&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
122,"['Henry Van Renselear', 'Henry Van Rensealear']",,Henry Van Renselear,"['Henry Van Renselear', 'Henry Van Rensealear']",,2,1,413.0,208.0,253.0,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry Van_Renselear&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
123,"['John Dowe', 'John Don']","Plainfield, Windham, Connecticut",John Don,"[[['John Dow', 'John Don']], [['John Dow', 'John Don']]]",[],2,1,402.0,201.0,390.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Don&name_x=ps_ps&residence=_plainfield-windham-connecticut-usa_3452&residence_x=1-0_1-1,Aggregated CD debt files
124,"['Zachariah Huntington', 'John Humphreys']","Derby, New Haven, Connecticut",Zachariah Huntington,"[[['Zachariah Huntington', 'John Humphrey']], [['John Humphrey'], ['Zachariah Huntington', 'John Humphrey'], ['John Humpheys', 'John Humphrey']]]",[],2,1,400.0,785.0,118.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Zachariah_Huntington&name_x=ps_ps&residence=_derby-new+haven-connecticut-usa_3332&residence_x=1-0_1-1,Aggregated CD debt files
125,"['Mary Elliot', 'Mary Ellott']","Baltimore, Maryland",Mary Elliot,"[[['Mary Elliot', 'Mary Elliott']], [['Mary Elliot', 'Mary Elliott']]]",[],2,1,380.0,189.0,129.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mary_Elliot&name_x=ps_ps&residence=_baltimore-maryland-usa_223&residence_x=1-0_1-0,Aggregated CD debt files
126,"['William Learned', 'Innis Clarke', 'Joseph Nightingale']","Providence, Providence, Rhode Island",Innis Clarke,"[[['Clark and Nightingale transfer from register', 'William Larned', 'Clark and Nightingale transfer from Register']], [['Clark and Nightingale'], ['Clark and Nightingale transferred', 'Clark and Nightingale Transferred from Register'], ['Clark and Nightingale transfer from register', 'William Larned', 'Clark and Nightingale transfer from Register']], [['Clark and Nightingale'], ['Clark and Nightingale transferred', 'Clark and Nightingale Transferred from Register'], ['Clark and Nightingale transfer from register', 'William Larned', 'Clark and Nightingale transfer from Register']]]",['Merchant'],3,2,372.0,186.0,350.0,13,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph+Innes_Clark&name_x=s_s&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-0,Aggregated CD debt files
127,"['Michael Gundarker', 'Michael Gunaker']","Lancaster, Lancaster, Pennsylvania",Michael Gunaker,"[[['Michael Gunaker', 'Michael Gundaker'], ['Michael Gundaker'], ['Michael Gundaker', 'Michael Gundacker'], ['Michael Gundaker', 'Michael Gundacker']], [['Michael Gunaker', 'Michael Gundaker']]]",[],2,1,372.0,186.0,166.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Gunaker&name_x=ps_ps&residence=_lancaster-lancaster-pennsylvania-usa_14386&residence_x=1-0_1-1,Aggregated CD debt files
128,"['Silas Mary', 'Silas May']","Woodstock, Windham, Connecticut",Silas Mary,"[[['Silas May', 'Silas Mary Treasurer and Co', 'Silas May Proprietors Treasurer']], [['Silas May', 'Silas Mary Treasurer and Co', 'Silas May Proprietors Treasurer']]]",['Proprietors'],2,1,366.0,183.0,171.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Silas_Mary&name_x=ps_ps&residence=_woodstock-windham-connecticut-usa_3467&residence_x=1-0_1-1,Aggregated CD debt files
129,"['Matthew Greer', 'Matthew Green']","Bucks, Pennsylvania",Matthew Green,"[[['Matthew Greer'], ['Matthew Green', 'Matthew Greer']], [['Matthew Green', 'Matthew Greer']]]",[],2,1,363.0,181.0,144.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Matthew_Green&name_x=ps_ps&residence=_bucks-pennsylvania-usa_403&residence_x=1-0_1-0,Aggregated CD debt files
130,"['Samuel Griffin', 'Saml Griffith']","Harford, Maryland",Samuel Griffin,"[[['Samuel Griffith', 'Samuel Griffin']], [['Samuel Griffith', 'Samuel Griffin']]]",[],2,1,356.0,177.0,373.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Griffin&name_x=ps_ps&residence=_harford-maryland-usa_1302&residence_x=1-0_1-0,Aggregated CD debt files
131,"['John Watkins', 'John Walkins']","Anne Arundel, Maryland",John Walkins,"[[['John Watkins', 'John Walkins']], [['John Watkins', 'John Walkins']]]",[],2,1,348.0,174.0,250.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Walkins&name_x=ps_ps&residence=_anne+arundel-maryland-usa_169&residence_x=1-0_1-0,Aggregated CD debt files
132,"['James Holmes', 'James Helme']","South Kingston, Washington, Rhode Island",James Holmes,"[[['James Helme', 'James Holmes']], [['James Helme', 'James Holmes']]]",['Esquire'],2,1,344.0,172.0,121.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Holmes&name_x=ps_ps&residence=_washington-rhode+island-usa_3072&residence_x=1-0_1-1,Aggregated CD debt files
133,"['William Beatly', 'William Beatty']","Frederick, Maryland",William Beatly,"[[['William Beatty', 'William Beatly']], [['William Beatty', 'William Beatly']]]",[],2,1,336.0,217.0,345.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Beatly&name_x=ps_ps&residence=_frederick-maryland-usa_1081&residence_x=1-0_1-0,Aggregated CD debt files
134,"['Elnathan Keyes', 'Amasa Keyes']","Hartford, Hartford, Connecticut",Amasa Keyes,"[[['Amasa and Elnathan Keyes']], [['Amasa and Elnathan Keyes']]]",['Executor to Stephen Keyes Deceased'],2,1,333.0,0.0,192.0,15,1.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Amasa_Keyes&name_x=1_1&residence=_Connecticut-usa_9&residence_x=1-0_1-0,Aggregated CD debt files
135,"['Jonathan Grant', 'Jonathan Grout']",Pennsylvania,Jonathan Grout,"[[['Jonathan Gront', 'Jonathan Grout']], [['Jonathan Gront', 'Jonathan Grout']]]",[],2,1,326.0,212.0,171.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Grout&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
136,"['Christian Derricks', 'Christian Derck']","Philadelphia, Philadelphia, Pennsylvania",Christian Derricks,"[[['Christian Derrick', 'Christian Derricks']], [['Christian Derrick', 'Christian Derricks']]]",[],2,1,325.0,213.0,139.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Christian_Derricks&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
137,"['Jeremiah F', 'Jeremiah Jenkins']","Providence, Providence, Rhode Island",Jeremiah Jenkins,"[[['Jeremiah F Jenkins', 'Jeremiah Fones Jenkins'], ['Jeremiah F Jenkins']], [['Jeremiah F Jenkins', 'Jeremiah Fones Jenkins']]]",['Merchant'],2,1,306.0,152.0,485.0,11,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jeremiah+Fones_Jenkins&name_x=s_s&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-0,Aggregated CD debt files
138,"['Richard Bush', 'Richard Burh']","Newport, Newport, Rhode Island",Richard Burh,"[[['Richard Burh', 'Richard Bush']], [['Richard Burh', 'Richard Bush']]]",['Butcher'],2,1,305.0,201.0,99.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Burh&name_x=ps_ps&residence=_newport-newport-rhode+island-usa_5500&residence_x=1-0_1-1,Aggregated CD debt files
139,"[' Robert Smith', 'Alexander Gillon']",South Carolina, Robert Smith,"[[['Allexander Gillon and Robert Smith']], [['Allexander Gillon and Robert Smith']]]",['Executor of Richard Beresford'],2,1,300.0,150.0,310.0,,,No Match,Too Many Potential Matches Found (12),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=+Robert_Smith&name_x=1_1&residence=_South Carolina-usa_43&residence_x=1-0_1-0,Aggregated CD debt files
140,"['Josias Carvel', 'Josias Hall']","Patapsco Lower Hundred, Baltimore, Maryland",Josias Hall,"[[['Josiah Carvell Hall', 'Josias Carvel Hall', 'Josias C Hall'], ['Josiah Carvell Hall', 'Josias Carvel Hall', 'Josias C Hall']], [['Josiah Carvell Hall', 'Josias Carvel Hall', 'Josias C Hall']]]",[],2,1,298.0,148.0,337.0,14,9.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Josias+C_Hall&name_x=s_s&residence=_baltimore-maryland-usa_223&residence_x=1-0_1-0,Aggregated CD debt files
141,"['James Mcgan', 'Jms Jms']","Harford, Maryland",James Mcgan,"[[['James McGaw', 'James McGan']], [['James McGaw', 'James McGan']]]",[],2,1,298.0,198.0,181.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Mcgan&name_x=ps_ps&residence=_harford-maryland-usa_1302&residence_x=1-0_1-0,Aggregated CD debt files
142,"['Sarah Ward', 'Christopher Hill', 'Henry Sherbourne']","Newport, Newport, Rhode Island",Henry Sherbourne,"[[['Henry Sherburne transfer from the register of the treasury', 'Christopher Hill transferred from the Register of the Treasury', 'Sarah Ward Transferred from the Register'], ['John Mawney Transferred from the Register', 'Matthew Watson from the office of William Imlay Connecticut', 'Sarah Ward transferred from the Register of the Treasury'], ['John Rogers transfer from the Register of the Treasury', 'Sarah Ward transferred from Register']], [['the president and Co of bank of providence from the books in Massachusetts', 'Christopher Hill Transferred from the Register', 'Matthew Watson transferred from the office in Connecticut'], ['Henry Sherburne transfer from the register of the treasury', 'Christopher Hill transferred from the Register of the Treasury', 'Sarah Ward Transferred from the Register'], ['John Eddy Transferred from the Register of the Treasury', 'Abram Belknap transferred from the Register of the Treasury', 'Christopher Hill transferred from Register']], [['Henry Sherburne Transferred from the Register of the Treasury', 'Joseph A Richards transfer from Register', 'Samuel Vernon transfer from register'], ['Henry Sherburne transferred from the Register of the Treasury', 'William Wheaten Transferred from the Books of the Register of the Treasury by Warrant No 10099', 'Brown Benson and Ives transferred from the books in Massachusetts'], ['Henry Sherburne transfer from the register of the treasury', 'Christopher Hill transferred from the Register of the Treasury', 'Sarah Ward Transferred from the Register']]]",[],3,1,297.0,83.0,31.0,6,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Sherburne&name_x=s_s&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
